Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"
Science and Medicine
","['javascript', 'java', 'ogc standards', 'web services']","['spatial data', 'sensor web', 'web-based geoprocessing', 'earth observation', 'geoinformatics']",https://wiki.52north.org/bin/view/Projects/GSoC2016ProjectIdeas,http://list.52north.org/mailman/listinfo/gsoc,https://summerofcode.withgoogle.com/archive/2016/organizations/5429283996565504/
aimacode,"Code to accompany the book ""AI: A Modern Approach""","
Programming Languages and Development Tools
","['python', 'java', 'javascript']","['artificial intelligence', 'education']",http://norvig.com/gsoc-ideas.html,https://groups.yahoo.com/neo/groups/aima-talk/info,https://summerofcode.withgoogle.com/archive/2016/organizations/5549354102292480/
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,Research-Intensive Open-Source Projects at Australia's Leading University,"
Science and Medicine
","['scala', 'lisp', 'llvm', 'python', 'postgresql']","['logic', 'live programming', 'data analysis', 'health', 'privacy']",https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu#acton-tabs-link--tabs-0-middle-1,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu#acton-tabs-link--tabs-0-middle-3,https://summerofcode.withgoogle.com/archive/2016/organizations/5127141637226496/
Apache Software Foundation,Providing open source software to the public free of charge,"

","['java', 'ruby', 'python', 'javascript', 'couchdb']","['cloud', 'ddd', 'dsl', 'database', 'web']",http://s.apache.org/gsoc2016ideas,https://wiki.apache.org/general/IRC,https://summerofcode.withgoogle.com/archive/2016/organizations/5934639780724736/
ArchC,ArchC is an Architecture Description Language,"
Programming Languages and Development Tools
","['c++', 'python', 'archc']","['computer architecture', 'processor design', 'simulators']",http://www.archc.org/gsoc-2016.html,http://www.archc.org/contact.html,https://summerofcode.withgoogle.com/archive/2016/organizations/6488526010974208/
ASCEND,Equation-solving software for engineering system modelling,"
Science and Medicine
","['python', 'c', 'c/c++']","['engineering', 'simulation', 'system modelling', 'mathematical software', 'solver']",http://ascend4.org/Student_projects,http://ascend4.org/Support,https://summerofcode.withgoogle.com/archive/2016/organizations/5175650340044800/
BeagleBoard.org,open hardware physical computing community with Linux,"

","['beaglebone', 'javascript', 'python', 'linux', 'c']","['robotics', 'iot', 'real time', 'physical computing', 'coprocessing']",http://bit.ly/bbgsocideas,"http://webchat.freenode.net/?channels=beagle,beagle-gsoc",https://summerofcode.withgoogle.com/archive/2016/organizations/6012249034457088/
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","
Programming Languages and Development Tools
","['erlang', 'elixir', 'xmpp', 'beam', 'mqtt']","['messaging', 'real time', 'cloud', 'scalability']",https://github.com/beamcommunity/beamcommunity.github.com/wiki,https://beamcommunity.github.io/,https://summerofcode.withgoogle.com/archive/2016/organizations/6384003686858752/
Berkman Center for Internet and Society,An interdisciplinary university-wide research center focused on the Internet,"

","['ruby on rails', 'javascript', 'sql/nosql', 'meteor.js', 'go']","['censorship', 'education', 'internet freedom', 'digital rights', 'law and policy']",http://cyber.law.harvard.edu/gsoc,https://cyber.law.harvard.edu/lists/info/gsoc2016,https://summerofcode.withgoogle.com/archive/2016/organizations/6488734048452608/
BioJS,BioJS is an open source project that visualizes biological data using JavaScript,"
Science and Medicine
","['javascript', 'python']","['javascript', 'bioinformatics', 'life sciences', 'coding standards', 'visualization']",http://biojs.net/gsoc,https://gitter.im/biojs/biojs,https://summerofcode.withgoogle.com/archive/2016/organizations/6650532982685696/
"Biomedical Informatics, Emory University",Big Data for Healthcare and Biomedical Research,"
Science and Medicine
","['java', 'medical imaging', 'deep learning', 'hadoop', 'python']","['cloud', 'web platform and services', 'precision medicine', 'big data visualization', 'data fusion']",http://www.bmi.emory.edu/gsoc2016,https://gsoc2016-bmi.slack.com,https://summerofcode.withgoogle.com/archive/2016/organizations/6000473039437824/
Blender Foundation,We make a 100% free/open source 3D creation pipeline.,"
Graphics / Video / Audio / Virtual Reality
","['c', 'c++', 'python', 'opengl']","['3d', 'tools', 'animation', 'games', 'rendering']",http://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2016/Ideas,http://wiki.blender.org/index.php/Community:Chat,https://summerofcode.withgoogle.com/archive/2016/organizations/6317853942743040/
Boston University / XIA,Crowdsourcing the future Internet,"
Cloud
","['xia', 'c', 'linux kernel', 'advanced data structures']","['computer networking', 'future internet architecture', 'research']",https://github.com/AltraMayor/XIA-for-Linux/wiki/Ideas-list,http://groups.google.com/group/linux-xia,https://summerofcode.withgoogle.com/archive/2016/organizations/5821053733437440/
BRL-CAD,"We develop solid modeling, CAD, CAM, & other computer-aided technologies (CAx)","
Graphics / Video / Audio / Virtual Reality
","['opencl', 'opengl', 'c/c++', 'python', 'tcl']","['cad', 'geometry', '3d', 'ray tracing', 'visualization']",http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas,http://brlcad.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2016/organizations/6087583029264384/
BuildmLearn,Building m-Learning applications,"
End User Applications
","['python', 'django', 'bootstrap', 'android']","['mlearning', 'mobile app', 'web apps', 'education']",https://github.com/BuildmLearn/BuildmLearn-Toolkit/wiki/Google-Summer-of-Code-2016-Ideas,https://groups.google.com/forum/#!forum/buildmlearn,https://summerofcode.withgoogle.com/archive/2016/organizations/4929075730710528/
Canadian Centre for Computational Genomics (C3G) - Montreal node,Analytical solutions for Next-Generation Sequencing data,"
Science and Medicine
","['python', 'r-project', 'javascript', 'sql', 'git']","['bioinformatics', 'visualization', 'statistics', 'genomics', 'population genetics']",https://bitbucket.org/mugqic/gsoc2016/overview,https://bitbucket.org/mugqic/gsoc2016/src/master/mailing_list.md,https://summerofcode.withgoogle.com/archive/2016/organizations/5630110493310976/
Catrobat,Our apps empower teens to visually create their own apps directly on their phone,"
Programming Languages and Development Tools
","['android', 'java', 'html5', 'web', 'javascript']","['education', 'programming tools', 'robotics', 'web applications', 'scratch']",http://developer.catrobat.org/gsoc_2016_ideas_page.html,https://github.com/Catrobat/Catroid/wiki/Setup-working-environment,https://summerofcode.withgoogle.com/archive/2016/organizations/5859735551082496/
cBioPortal for Cancer Genomics,Open source software solutions of precision medicine for cancer patients,"
Science and Medicine
","['java', 'javascript', 'web', 'html', 'big data']","['cancer', 'genomics', 'bioinformatics', 'precision medicine', 'biology']",https://github.com/cBioPortal/GSoC/wiki/ideas,https://groups.google.com/forum/#!forum/cbioportal-gsoc,https://summerofcode.withgoogle.com/archive/2016/organizations/5251173044977664/
CCExtractor Development,The de-facto standard tool for everything related to subtitles.,"
Graphics / Video / Audio / Virtual Reality
","['c', 'video', 'ffmpeg', 'subtitles', 'linux']","['media analysis', 'database', 'subtitles', 'decoder', 'video']",http://www.ccextractor.org/gsoc2016.html,http://www.ccextractor.org/gsoc2016.html#gettingaccepted,https://summerofcode.withgoogle.com/archive/2016/organizations/5133509194678272/
Celluloid,Painless multi-threaded multi-core programming for Ruby.,"
Programming Languages and Development Tools
","['ruby', 'multi-threading', 'multi-core', 'zeromq', 'high-resolution timers']","['concurrency', 'parallel', 'evented', 'distributed', 'actor model']",https://github.com/celluloid/GSoC/wiki/Ideas-List,https://github.com/celluloid/GSoC/wiki/Communication#internet-relay-chat--irc-,https://summerofcode.withgoogle.com/archive/2016/organizations/4955769220890624/
Ceph,The Future of Storage,"
Data and Databases
","['c/c++', 'python', 'object-storage']","['network storage', 'cloud', 'distributed systems']",http://ceph.com/gsoc2016/,http://ceph.com/resources/mailing-list-irc/,https://summerofcode.withgoogle.com/archive/2016/organizations/5408317308403712/
CERN SFT,The SFT is part of CERN (European Organization for Nuclear Research).,"
Science and Medicine
","['c++', 'python', 'javascript', 'clang']","['numerical and data analysis software', 'simulation software', 'cloud', 'machine learning']",http://ep-dep-sft.web.cern.ch/article/198146,http://ep-dep-sft.web.cern.ch/article/198146#contact,https://summerofcode.withgoogle.com/archive/2016/organizations/6273708926697472/
Chapel,a Productive Parallel Programming Language,"
Programming Languages and Development Tools
","['python', 'chapel', 'c', 'c++', 'high performance computing']","['programming languages', 'compilers', 'high performance computing', 'distributed computing', 'parallel computing']",http://chapel.cray.com/gsoc/ideas.html,http://chapel.cray.com/developers.html,https://summerofcode.withgoogle.com/archive/2016/organizations/4704629866627072/
CiviCRM,"Contact relationship management for non-profits, NGOs and advocacy organizations","
Social / Communications
","['php', 'javascript', 'mysql', 'angularjs', 'd3js']","['civic technology', 'crm', 'fundraising', 'events management', 'membership management']",https://wiki.civicrm.org/confluence/display/CRM/Google+Summer+of+Code+-+2016,http://webchat.freenode.net/?channels=#civicrm,https://summerofcode.withgoogle.com/archive/2016/organizations/4866334043144192/
Classical Language Toolkit,NLP for the ancient world,"

","['python', 'javascript', 'java']","['natural language processing', 'web', 'machine translation', 'machine learning', 'human language technologies']",https://github.com/cltk/cltk/wiki/Project-ideas,https://gitter.im/cltk/cltk,https://summerofcode.withgoogle.com/archive/2016/organizations/5724313353191424/
CloudCV,CloudCV - Large Scale Distribution Vision algorithms as a Cloud Service,"
Cloud
","['python', 'javascript', 'lua', 'caffe', 'torch']","['computer vision', 'deep learning', 'machine learning']",https://docs.google.com/document/d/1lhz6gOJiU3Yoo0rm0AeHmxrSZ32TllSKzy5zqje8_s4/edit?usp=sharing,https://gitter.im/batra-mlp-lab/CloudCV,https://summerofcode.withgoogle.com/archive/2016/organizations/4785685563179008/
