Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
3DTK,The 3D Toolkit provides algorithms and methods to process 3D point clouds,"
Science and Medicine
","['c/c++', ' cmake', 'opencv', 'ros', 'boost']","[' 3d', 'point clouds', 'slam', 'robotics', 'mapping']",http://slam6d.sourceforge.net/wishlist.html,https://sourceforge.net/p/slam6d/discussion/,https://summerofcode.withgoogle.com/archive/2018/organizations/5685665089978368/
52° North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"
Science and Medicine
","['javascript', ' java', 'spring', 'r', 'big data']","['geoinformatics', 'geoprocessing', 'remote sensing', 'geostatistics', 'sensor web']",https://wiki.52north.org/Projects/GSoC2018ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact,https://summerofcode.withgoogle.com/archive/2018/organizations/5067792839606272/
AerospaceResearch.net,making space together,"
Science and Medicine
","['python', 'c/c++', 'vhdl', 'boinc', ' java']","['cubesats', 'space applications', 'software defined radio', 'distributed computing', 'simulations']",https://aerospaceresearch.net/?page_id=612,https://aerospaceresearch.net/?page_id=612,https://summerofcode.withgoogle.com/archive/2018/organizations/5715161717407744/
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","
Programming Languages and Development Tools
","[' python', ' java', ' javascript', 'ai', 'jupyter']","['artificial intelligence', 'machine learning', 'education']",https://github.com/aimacode/aima-gsoc,https://gitter.im/aimacode/Lobby,https://summerofcode.withgoogle.com/archive/2018/organizations/5756292874371072/
Amahi,"Amahi, a home digital assistant at your fingertips.","
Operating Systems
","['ruby on rails', 'golang', 'swift', 'javascript', 'android']","['media server', 'storage server', 'streaming', ' web apps', 'front-end']",https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,http://talk.amahi.org/,https://summerofcode.withgoogle.com/archive/2018/organizations/5083924199899136/
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,"
Web
","['scala', 'isabelle proof assistant', 'browser extension', 'javascript/html5/css3', 'android/ios']","['logic', 'electronic voting', 'philosophy', 'environment', 'natural language processing']",http://aossie.org/#ideas,http://gitter.im/GSoC-AOSSIE/,https://summerofcode.withgoogle.com/archive/2018/organizations/6209824106741760/
Apache Software Foundation,Providing open source software to the public free of charge,"
Other
","['c', 'java', 'erlang']","['other', 'cloud', 'libraries', 'big data']",http://s.apache.org/gsoc2018ideas,https://wiki.apache.org/general/IRC,https://summerofcode.withgoogle.com/archive/2018/organizations/5175246747336704/
Apertium,A free/open-source platform for machine translation and language technology,"
Other
","['c++', 'python', 'xml', 'fsts']","['machine translation', 'language technology', 'grammar', 'natural language processing']",http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2018/organizations/5754587369701376/
Apertus Association,Open Technology for Professional Film Production,"
Graphics / Video / Audio / Virtual Reality
","['fpga', 'embedded', 'linux', 'c/c++', 'vhdl']","['vision', 'camera', 'cinematography', 'digital imaging', 'photography']",https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat,https://summerofcode.withgoogle.com/archive/2018/organizations/5706275094528000/
appleseedhq,A modern open source rendering engine for animation and visual effects,"
Graphics / Video / Audio / Virtual Reality
","['c/c++', 'qt']","['graphics', 'rendering', 'physics', 'mathematics', 'high performance']",https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas-for-GSoC-2018,https://slackin-naplrzjfoz.now.sh/,https://summerofcode.withgoogle.com/archive/2018/organizations/5125340301099008/
ArduPilot,The worlds most advanced open source autopilot,"
End User Applications
","['drones', 'python', 'linux', 'c/c++', 'robotics']","['vision', 'robotics', 'embedded systems', 'real-time os', 'drones']",http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC,https://summerofcode.withgoogle.com/archive/2018/organizations/5149138983321600/
